KEY,LABEL_EN,LABEL_FR,LABEL_NL
SAVE_BUTTON,Save,Enregistrer,Opslaan
LOGOUT_BUTTON,Log out,Déconnexion,Uitloggen
LOGIN_BUTTON,Log in,Connexion,Inloggen
CLOSE_BUTTON,Close,Fermer,NL_Close
CANCEL_BUTTON,Cancel,Annuler,NL_Cancel
YES_BUTTON,Yes,Oui,Ja
NO_BUTTON,No,Non,Nee
REGISTRATION_BUTTON,Registration,Enregistrement,
TITLE_ENTERPRISE,Enterprise CO2 Computer,Calculateur CO2 Entreprise,Bedrijf CO2 Rekenmodule
TITLE_MUNICIPALITY,Municipality CO2 Computer,Calculateur CO2 Commune,
FR,Français,Français,Français
NL,Nederlands,Nederlands,Nederlands
EN,English,English,English
LANGUAGE,Language,Langue,Taal
WELCOME,Welcome,Bienvenue,Welkom
LAST_SAVE,Last save:,Dernier enregistrement:,Laaste opslag:
PERIOD_DATA,Data,Données,Gegevens
ADD_NEW_ITERATION,Add,Ajouter,Toevoegen
FILLED_BY,Filled by,Rempli à,Ingevuld tot
SITE_MANAGER_BUTTON,Manage sites,Gérer les sites,Plaatsen beheren
USER_MANAGER_BUTTON,Manage users,Gérer les utilisateurs,Gebruikers beheren
USER_DATA_BUTTON,My profile,Mon profil,Mijn profiel
FIELD_INTEGER_ERROR_MESSAGE,This field excepts an integer,Ce champs necessite un nombre entier,Dit gebied vereist een integer.
FIELD_DECIMAL_ERROR_MESSAGE,This field excepts a decimal,Ce champs necessite un nombre décimal.,Dit gebied vereist een decimaal nummer.
USER_IDENTIFIER,Identifier,Identifiant,Identificatie
USER_PASSWORD,Password,Mot de passe,Wachtwoord
UPDATE_PASSWORD_BUTTON,Update Password,Modifier le mot de passe,Wachtwoord bijwerken
USER_LASTNAME,Last Name,Nom,Naam
USER_FIRSTNAME,First name,Prénom,Voornaam
USER_EMAIL,Email Address,Adresse e-mail,Email adres
UPDATE_EMAIL_BUTTON,Update Email Address,Modifier l'adresse e-mail,Email adres bijwerken
USER_LASTNAME_WRONG_LENGTH,The last name should contain at least 1 character,Le nom doit contenir au moins 1 caractère,NL_The last name should contain at least 1 character
USER_FIRSTNAME_WRONG_LENGTH,The first name should contain at least 1 character,Le prénom doit contenir au moins 1 caractère,NL_The first name should contain at least 1 character
EMAIL_CHANGE_FORM_TITLE,Update Email Address Form,Modification de votre adresse e-mail,NL_Update Email Address Form
EMAIL_CHANGE_FORM_PASSWORD_FIELD_TITLE,Password,Mot de passe,Wachtwoord
EMAIL_CHANGE_FORM_PASSWORD_FIELD_PLACEHOLDER,Password,Mot de passe,Wachtwoord
EMAIL_CHANGE_FORM_OLD_EMAIL_FIELD_TITLE,Old Email Address,Ancienne adresse e-mail,Oude email adres
EMAIL_CHANGE_FORM_NEW_EMAIL_FIELD_TITLE,New Email Address,Nouvelle adresse e-mail,Nieuwe email adres
EMAIL_CHANGE_FORM_NEW_EMAIL_FIELD_PLACEHOLDER,Type your new Email Address…,Adresse e-mail,Nieuwe email adres
LOGIN_FORM_LOGIN_FIELD_TITLE,Your login,Votre identifiant,NL_Your login
LOGIN_FORM_LOGIN_FIELD_PLACEHOLDER,your login,votre identifiant,NL_your login
LOGIN_FORM_PASSWORD_FIELD_TITLE,Your password,Votre mot de passe,NL_Your password
PASSWORD_CHANGE_FORM_TITLE,Update Password Form,Modification de votre mot de passe,NL_Update Password Form
PASSWORD_CHANGE_FORM_OLD_PASSWORD_FIELD_TITLE,Old Password,Ancien mot de passe,NL_Old Password
PASSWORD_CHANGE_FORM_OLD_PASSWORD_FIELD_PLACEHOLDER,old password,ancien mot de passe,NL_old password
PASSWORD_CHANGE_FORM_NEW_PASSWORD_FIELD_TITLE,New Password,Nouveau mot de passe,NL_New Password
PASSWORD_CHANGE_FORM_NEW_PASSWORD_FIELD_PLACEHOLDER,new password,nouveau mot de passe,NL_new password
PASSWORD_CHANGE_FORM_NEW_PASSWORD_CONFIRM_FIELD_TITLE,Please type again your new password,Tapez à nouveau votre nouveau mot de passe,NL_Please type again your new password
PASSWORD_CHANGE_FORM_NEW_PASSWORD_CONFIRM_FIELD_PLACEHOLDER,new password,nouveau mot de passe,NL_new password
PASSWORD_VALIDATION_WRONG_LENGTH,"The password should contain between 5 and 20 characters, number or special characters (#?!@$%^&*-)","Le mot de passe doit être composé de 5 à 20 lettres, chiffres ou caractères spéciaux (#?!@$%^&*-)","NL_The password should contain between 5 and 20 characters, number or special characters (#?!@$%^&*-)"
PASSWORD_VALIDATION_WRONG_CONFIRMATION,Please introduce exactly the same password twice,Veuillez introduire exactement le même mot de passe,NL_Please introduce exactly the same password twice
EMAIL_VALIDATION_WRONG_FORMAT,Invalid E-Mail Address,Adresse e-mail invalide,NL_Invalid E-Mail Address
LOGIN_VALIDATION_WRONG_LENGTH,"The login should contain between 5 and 20 characters, and no white spaces","L'identifiant doit contenir entre 5 et 20 caractères, et aucun espace","NL_The login should contain between 5 and 20 characters, and no white spaces"
ALL_ANSWERS_ALREADY_SAVED,All answers are already saved !,Toutes les réponses sont déjà enregistrées !,Alle antwoorden zijn al opgeslagen !
ANSWERS_SAVED,Your answers are saved !,Vos réponses sont enregistrées !,Uw antwoorden zijn opgeslagen !
CHANGES_SAVED,Your changes are saved !,Vos changements sont enregistrés !,NL_Your changes are saved !
ERROR_THROWN_ON_SAVE,An error was thrown during the save : ,Une erreur est survenue lors de l'enregistrement :,Er is een fout tijdens het opslaan gegooid :
MODAL_CONFIRMATION_EXIT_FORM_TITLE,Warning,Attention,
MODAL_CONFIRMATION_EXIT_FORM_MESSAGE,You will lose not saved data from your last save. Are you sure to continue ?,Vous allez perdre toutes vos modifications depuis la dernière sauvegarde. Êtes-vous sûr de vouloir continuer ?,
MODAL_CONFIRMATION_EXIT_FORM_CONTINUE,Continue without save,Continuer sans sauvegarder,
MODAL_CONFIRMATION_EXIT_FORM_SAVE,Save and continue,Enregistrer et continuer,
MODAL_CONFIRMATION_EXIT_FORM_CANCEL,Cancel,Annuler,
NO_PERIOD_SELECTED,No period,Aucune période,
MODAL_QUESTION_COMMENT_TITLE,Add a comment,Ajouter un commentaire,
DELETE,Delete,Supprimer,
LOGIN_CONNECTION,Connection,Connexion,
LOGIN_FORGOT_PASSWORD,Forgot password ?,Mot de passe oublié ?,
LOGIN_FORGOT_PASSWORD_SUCCESS,An email was send with a new password,Un e-mail a été envoyé avec un nouveau mot de passe,
LOGIN_FORGOT_PASSWORD_DESC,Forgotten password? Submit your identifier to receive a new password by email,Mot de passe perdu? Soumettez votre identifiant pour recevoir un nouveau mot de passe par courriel,
LOGIN_REGISTRATION,Not yet registered ?,Pas encore enregistré ?,
SUBMIT,Submit,Envoyer,
IDENTIFIENT_OR_EMAIL,Identifier,Identifiant,
IDENTIFIER_CHECK_WRONG,"Identifier must be composed of characters, number or -","L'identifiant doit être composé de 5 à 20 lettres, chiffres ou caractère ""-""",
ORGANIZATION_NAME,Organization name,Nom de l'organisation,
ORGANIZATION_NAME_WRONG_LENGTH,The name of the organization should contain between 1 and 255 characters,Le nom de l'organisation doit être compris entre 1 et 255 caractères,
MAIN_SITE_NAME,Main site,Site principal,
SITE_NAME_WRONG_LENGTH,The name of a site should contain between 1 and 255 characters,Le nom d'un site doit être compris entre 1 et 255 caractères,
MUNICIPALITY_NAME,Name of the municipality,Nom de la commune,
MUNICIPALITY_NAME_WRONG_LENGTH,The name of the municipality should contain between 1 and 255 characters,Le nom de la commune doit être compris entre 1 et 255 caractères,
CONNECTION_PASSWORD_CHANGE_FORM_DESC,You must change your password,Vous devez changer de mot de passe,
SITE_MANAGER_EDIT_SITE_BUTTON,Edit site,Editer le site,
NAME,Name,Nom,
USER_MANAGER_ADMINISTRATOR,Administrator,Administrateur,
USER_MANAGER_ACTIF,Actif,Actif,
DESCRIPTION,Description,Description,
SITE_MANAGER_NACE_CODE,Main NACE code,Code NACE principal,
SITE_MANAGER_ORGANIZATIONAL_STRUCTURE,Organizational structure,Structure organisationnelle,
SITE_MANAGER_ECONOMIC_INTEREST,Economical interests of the organization,Intérêt économique détenu par l'organisation,
SITE_MANAGER_OPERATING_POLICY,Control of the exploitation policies,Contrôle des politiques d'exploitation,
SITE_MANAGER_ACCOUNTING_TREATMENT,Treatment in the organization accountancy,Traitement dans la compatibilité de l'organisation,
SITE_MANAGER_PERCENT_OWNED,* of GHG to charge to the organization,% des émissions GES comptabilisées par l'organisation,
CONTROL_FIELD_DEFAULT_STRING,255 characters maximum,Maximum 255 caractères,
CONTROL_FIELD_DEFAULT_TEXT,65000 characters maximum,Maximum 65000 caractères,
CONTROL_FIELD_DEFAULT_PERCENT_MAX_100,The value should be contains between 0 and 100 %,La valeur doit être comprise entre 0 et 100 %,
SITE_MANAGER_ADD_SITE_BUTTON,Add a new site,Ajouter un nouveau site,
EDIT_SITE_TITLE_CREATE,Create a new site,Créer un nouveau site,
EDIT_SITE_TITLE_EDIT,Edit a site,Editer un site,
USER_REGISTRATION,Registration,Enregistrement,NL_enregistreerd
USER_REGISTER_BUTTON,Register,Enregistrer,NL_enregistre
USER_INVITATION_EMAIL_FIELD_TITLE,Guest's email,Adresse e-mail de l'invité,NL_USER_INVITATION_EMAIL_FIELD_TITLE
USER_INVITATION_EMAIL_FIELD_PLACEHOLDER,Email,Adresse e-mail,NL_USER_INVITATION_EMAIL_FIELD_PLACEHOLDER
USER_INVITATION_FORM_TITLE,New guest Invitation,Invitation d'un nouveau membre,NL_USER_INVITATION_FORM_TITLE
LESS_THAN_MINIMUM,<<,<<,<<
SCOPE_1,SCOPE_1,Emissions directes (scope 1),SCOPE_1
SCOPE_2,SCOPE_2,Emissions indirectes liées à l'achat de l'électricité et de vapeur/chaleur (scope2),SCOPE_2
SCOPE_3,SCOPE_3,Autres émissions indirectes (scope3),SCOPE_3
OUT_OF_SCOPE,OUT_OF_SCOPE,Emissions de CO2 issues de la combustion de la biomasse/biocarburant,OUT_OF_SCOPE
RESULTS_TOTAL,Total:,Total:,Total:
SHOW_ALL_INDICATORS,Afficher tous les indicateurs,Afficher tous les indicateurs,Afficher tous les indicateurs
VALUES_BY_CATEGORY,Valeurs par rubrique,Valeurs par rubrique,Valeurs par rubrique
IMPACTS_PARTITION,Répartition des impacts,Répartition des impacts,Répartition des impacts
KIVIAT_DIAGRAM,Diagramme araignée,Diagramme araignée,Diagramme araignée
NUMBERS,Chiffres,Chiffres,Chiffres
COMPARISION_WITH_CONSTANT_EMISSION_FACTORS,Comparaison à facteurs d'émission constants,Comparaison à facteurs d'émission constants,Comparaison à facteurs d'émission constants
CALCULUS_EXPLANATION,Explication du calcul,Explication du calcul,Explication du calcul
USED_EMISSION_FACTORS,Facteurs d'émission utilisés,Facteurs d'émission utilisés,Facteurs d'émission utilisés
RESULTS_DISCLAIMER,EN Disclaimer...,L’AWAC n’est pas responsable de la qualité et de la complétude des données utilisées pour obtenir ce résultat. L'organisation peut par contre les avoir fait auditer de manière externe.,NL Disclaimer...
ACCOMPANIMENT_WORD_ENTERPRISE,Mot d'accompagnement EN,"Sur base des données fournies et des sites sélectionnés, le bilan de gaz à effet de serre est de {0} tCO2e",Mot d'accompagnement NL
ACCOMPANIMENT_WORD_MUNICIPALITY,Mot d'accompagnement EN,"Sur base des données fournies, le bilan de gaz à effet de serre est de {0} tCO2e",Mot d'accompagnement NL
ACCOMPANIMENT_COMPARISION_WORD_ENTERPRISE,Mot d'accompagnement EN,"Sur base des données fournies et des sites sélectionnés, le bilan de gaz à effet de serre est de {0} tCO2e en {1} et de {2} tCO2e en {3}",Mot d'accompagnement NL
ACCOMPANIMENT_COMPARISION_WORD_MUNICIPALITY,Mot d'accompagnement EN,"Sur base des données fournies, le bilan de gaz à effet de serre est de {0} tCO2e en {1} et de {2} tCO2e en {3}",Mot d'accompagnement NL
XLS_EXPORT,Excel export,Export Excel,Export Excel
PDF_EXPORT,PDFexport,Export PDF,Export PDF
SITES_LIST,Sites,Sites,Sites
ALL_SITES_SELECTED,Tous,Tous,Tous
RESULTS,Résultats,Résultats,Résultats
SITE_MANAGER_ADD_USERS_BUTTON,Edit associated users,Editer les utilisateurs associés,NL_EDIT_SITE_TITLE_CREATE
SITE_MANAGER_ADD_USER_TITLE,Add associated users,Associer un utilisateur,NL_SITE_MANAGER_ADD_USER_TITLE
SITE_MANAGER_ADD_NAME_LABEL,Name,Nom,Naam
SITE_MANAGER_ADD_LOGIN_LABEL,Identifier,Identificateur,SITE_MANAGER_ADD_LOGIN_LABEL
SITE_MANAGER_ADD_SELECTED_LABEL,Selected,Selectionné,NL_SITE_MANAGER_ADD_SELECTED_LABELl
SITE_MANAGER_ADD_LIST_LABEL,List selected users,Liste des utilisateurs sélectionnés,NL_SITE_MANAGER_ADD_USER_TITLE
SITE_MANAGER_EVENT_NAME,Title,Titre,NL_SITE_MANAGER_EVENT_NAME
SITE_MANAGER_EVENT_DESCRIPTION,Description,Description,NL_SITE_MANAGER_EVENT_DESCRIPTION
SITE_MANAGER_EVENT_PERIOD,Period,Période,NL_SITE_MANAGER_EVENT_PERIOD
SITE_MANAGER_ADD_EVENT_BUTTON,SITE_MANAGER_ADD_EVENT_BUTTON,Ajouter un facteur,NL_SITE_MANAGER_ADD_EVENT_BUTTON
SITE_MANAGER_EDIT_EVENT_BUTTON,SITE_MANAGER_EDIT_EVENT_BUTTON,Editer un facteur,NL_SITE_MANAGER_EDIT_EVENT_BUTTON
EDIT_EVENT_TITLE_CREATE,EDIT_EVENT_TITLE_CREATE,Créer un nouveau facteur,NL_EDIT_EVENT_TITLE_CREATE
EDIT_EVENT_TITLE_EDIT,EDIT_EVENT_TITLE_EDIT,Modifier le facteur,NL_EDIT_EVENT_TITLE_EDIT
EDIT_EVENT_YEAR_LABEL,Year,Année,NL_YEAR
NO_SCOPE_TITLE,No period or scope/site selected,Pas de période ou de périmètre/site sélectionné,No period or scope/site selected
NO_SCOPE_MESSAGE,Please make sure you have access to at least one period on at least one scope/site. Or ask your administrator to grant you this access,Vérifiez que vous avez bien accès à au moins une période pour un des périmètres/sites. Ou demandez à votre administrateur de vous donner cet accès,Please make sure you have access to at least one period on at least one scope/site. Or ask your administrator to grant you this access
SITE_MANAGER_SITE_LIST_TITLE,SITE_MANAGER_SITE_LIST_TITLE,Gestion des sites,NL_SITE_MANAGER_SITE_LIST_TITLE
SITE_MANAGER_SITE_LIST_DESC,SITE_MANAGER_SITE_LIST_DESC,"Les administrateurs définissent ici les sites de l'organisation, quel utilisateur a accès à quel site, et pour quelle période des données doivent être collectées pour quel site.",NL_SITE_MANAGER_SITE_LIST_DESC
SITE_MANAGER_EVENT_TITLE,SITE_MANAGER_EVENT_TITLE,Facteurs influants sur la performance GES,NL_SITE_MANAGER_EVENT_TITLE
SITE_MANAGER_EVENT_DESC,SITE_MANAGER_EVENT_DESC,"Lister des changements survenus dans votre organisation (tels que l'acquisition, la fusion, la cession, l'externalisation, l'internalisation, les changements dans la production et les changements dans les méthodologies de calcul, l'amélioration de la précision des données, changement de FE etc.) pendant l'année du bilan, et qui sont potentiellement autant de facteurs qui peuvent influencer la performance GES.",NL_SITE_MANAGER_EVENT_DESC
SITE_MANAGER_SELECT_PERIOD,Select a year,Choisissez une année,NL_Select a year
CONNECTION_MESSAGE_SUCCESS,You are now connected,Vous voilà connecté,NL_You are now connected
REGISTRATION_SUCCESS,You are now registered. Please log in.,Vous êtes enregistré. Merci de vous connecter.,NL_You are now registered. Please log in.
REGISTRATION_FAILED,Registration failed. Please try again.,L'enregistrement a échoué. Merci de ré-essayer.,NL_Registration failed. Please try again.
RESULT_LOADING_FAILED,Unable to load report,Impossible de charger le rapport,NL_Unable to load report
RESULT_DOWNLOAD_START,Downloading report file...,Téléchargement du fichier de rapport...,NL_Downloading report file...
UNABLE_LOAD_DATA,Unable to load data...,Impossible de charger les données…,NL_Unable to load data...
YES,Yes,Oui,Ja
NO,No,Non,Nee
SURVEY_INTERFACE_CONFIDENTIALITY,Confidentiality,Confidentialité,NL_Confidentiality
SURVEY_INTERFACE_ASSISTANCE,Help,Assistance,NL_Help
SURVEY_INTERFACE_SELECTED_SITE,Selected site,Site sélectionné,NL_Selected site
SURVEY_INTERFACE_VERIFICATION,Verifying,Vérification,NL_Verifying
SURVEY_INTERFACE_RESULT,Results,Résultats,NL_Results
SURVEY_INTERFACE_REDUCTION,Reduction Actions,Actions de réduction,NL_Reduction Actions
SURVEY_INTERFACE_COMPARE_TO,Comparing with,Comparaison avec,NL_Comparing with
SURVEY_INTERFACE_MANAGEMENT,Management,Gestion,NL_Management
GRAPH_LEGEND,Legend,Légende,NL_Legend
LOADING,Loading,Chargement,NL_Loading
FORM_MULTI_METHOD,INTRO_ALTERNATIVES,Plusieurs méthodes différentes existent pour rapporter ces données. Elles vous sont présentées de la meilleure à la plus approximative. L’idéal est d’utiliser la meilleure possible en fonction des données dont vous disposez. Le système utilisera les données de la meilleure méthode entièrement complétée pour effectuer le calcul.,NL_INTRO_ALTERNATIVES
ENTERPRISE,Enterprise,Entreprise,NL_Enterprise
MUNICIPALITY,Municipality,Commune,NL_Municipality
USER_MANAGER_TITLE,User manager,Gestion des utilisateurs,NL_User manager
USER_MANAGER_INVIT_USER,Invite users,Inviter un utilisateur,NL_Invite users
SELECT_AT_LEAST_ONE_SITE,Please choose at least one site,Merci de choisir au moins un site,NL_Please choose at least one site
RESULTS_EXPLANATION_CONTRIB_PART1,There is an activity of type,Il y a une activité de type,NL_RESULTS_EXPLANATION_CONTRIB_PART1
RESULTS_EXPLANATION_CONTRIB_PART2,for a value of,pour une valeur de,NL_RESULTS_EXPLANATION_CONTRIB_PART2
RESULTS_EXPLANATION_CONTRIB_PART3,which has been multiplied with the emission factor,qui a été multiplié par le facteur d'émission,NL_RESULTS_EXPLANATION_CONTRIB_PART3
RESULTS_EXPLANATION_CONTRIB_PART4,whose value is ,valant,NL_RESULTS_EXPLANATION_CONTRIB_PART4
RESULTS_EXPLANATION_CONTRIB_PART5,per,par,NL_RESULTS_EXPLANATION_CONTRIB_PART5
RESULTS_EXPLANATION_CONTRIB_PART6,It does contribute to the result for,Cela contribue au résultat à hauteur de,NL_RESULTS_EXPLANATION_CONTRIB_PART6
RESULTS_EXPLANATION_NOFACTOR_PART1,There is an activity of type,Il y a une activité de type,NL_RESULTS_EXPLANATION_NOFACTOR_PART1NL_
RESULTS_EXPLANATION_NOFACTOR_PART2,for a value of,pour une valeur de,NL_RESULTS_EXPLANATION_NOFACTOR_PART2
RESULTS_EXPLANATION_NOFACTOR_PART3,for which no emission factor of type,pour laquelle aucun facteur de type,NL_RESULTS_EXPLANATION_NOFACTOR_PART3
RESULTS_EXPLANATION_NOFACTOR_PART4,has been found.,n'a été trouvé.,NL_RESULTS_EXPLANATION_NOFACTOR_PART4
RESULTS_LEGENDS_NODATA,No data to display,Aucune donnée à afficher,NL_No data to display
CONVENTION_OF_MAYORS,Convention of mayors,Convention des maires,NL_CONVENTION_OF_MAYORS
INVITATION_EMAIL_SENT,Invitation message is sent!,Le couriel d'invitation est envoyé!,NL_INVITATION_EMAIL_SENT
RESULTS_EXPLANATION_ONLY_AVAILABLE_FOR_SINGLE_PERIOD,Unavailable for comparision,Non disponible lors d'une comparaison,NL_RESULTS_EXPLANATION_ONLY_AVAILABLE_FOR_SINGLE_PERIOD
UNCLOSING_FORM,EN_UNCLOSING_FORM,Déclôturer le bilan,NL_UNCLOSING_FORM
CLOSING_FORM,EN_CLOSING_FORM,Clôturer le bilan,NL_CLOSING_FORM
MODAL_CONFIRM_CLOSING_SUCCESS,EN_MODAL_CONFIRM_CLOSING_SUCCESS,Bilan clôturé. Les données sont protégées.,NL_MODAL_CONFIRM_CLOSING_SUCCESS
MODAL_CONFIRM_UNCLOSING_SUCCESS,EN_MODAL_CONFIRM_UNCLOSING_SUCCESS,Clôture du bilan annulée. Tout le monde peut à nouveau modifier les données.,NL_MODAL_CONFIRM_UNCLOSING_SUCCESS
MODAL_CONFIRM_CLOSING_DESC,EN_MODAL_CONFIRM_CLOSING_DESC,"Par cette opération, vous verrouillez définitivement l'ensemble des données récoltées et empêchez toute modification ultérieure, afin de préserver votre bilan en l'état. Merci de confirmer que c'est ce que vous souhaitez faire en encodant votre mot de passe:",NL_MODAL_CONFIRM_CLOSING_DESC
MODAL_CONFIRM_UNCLOSING_DESC,EN_MODAL_CONFIRM_UNCLOSING_DESC,"Par cette opération, vous débloquez votre bilan clôturé et permettez à nouveau à tous les membres de votre entreprise de modifier les données. Merci de confirmer que c'est ce que vous souhaitez faire en encodant votre mot de passe:",NL_MODAL_CONFIRM_UNCLOSING_DESC
MODAL_DOCUMENT_MANAGER_TITLE,Documents uploaded,Documents téléchargés,NL_MODAL_DOCUMENT_MANAGER_TITLE
MODAL_DOCUMENT_MANAGER_DOC_NAME,Document name,Document name,NL_MODAL_DOCUMENT_MANAGER_DOC_NAME
MODAL_DOCUMENT_MANAGER_ACTION,Actions,Actions,NL_MODAL_DOCUMENT_MANAGER_ACTION
MODAL_DOCUMENT_MANAGER_DOWNLOAD,Download,Télécharger,NL_MODAL_DOCUMENT_MANAGER_DOWNLOAD
MODAL_DOCUMENT_MANAGER_REMOVE,Remove,Supprimer,NL_MODAL_DOCUMENT_MANAGER_REMOVE
QUESTION_FILE_UPLOAD,Upload new documents,Télécharger de nouveaux documents,NL_QUESTION_FILE_UPLOAD
QUESTION_FILE_COUNT_ALREADY_UPLOAD,document(s) already uploaded,document(s) déjà téléchargés,NL_QUESTION_FILE_COUNT_ALREADY_UPLOAD
QUESTION_FILE_CONSULT,consult this documents,Consulter les documents,NL_QUESTION_FILE_CONSULT
QUESTION_FILE_TREATEMENT,Traîtement en cours...,Traîtement en cours...,NL_QUESTION_FILE_TREATEMENT
DETAIL_UPSTREAM_KM,EN_DETAIL_UPSTREAM_KM,"Dans cette méthode, la distance est multipliée par le poids total des produits transportés. Le produit donne un résultat en tonne kilomètre (t.km) qui est lui-même multiplié par un facteur d'émission en tCO2e/t.km qui incorpore la consommation moyenne, l'utilisation moyenne, la taille et poids moyen des produits et des véhicules utilisés. La tonne.kilomètre est une unité de mesure représentant une tonne de produit transportée sur une distance d'un kilomètre.",NL_DETAIL_UPSTREAM_KM
TITLE_VERIFICATION,Verification,Vérification,NL_TITLE_VERIFICATION
LOCK_BY,Lock by {0},Vérouillé pas {0},NL_LOCK_BY
VALIDATE_BY,Validate by {0},Validé par {0},NL_VALIDATE_BY
ORGANIZATION_MANAGER_BUTTON,Manage organization,Gérer l'organisation,NL_Manage organization
ORGANIZATION_MANAGER_TITLE,Manage organization,Gérer l'organisation,NL_Manage organization
ORGANIZATION_MANAGER_PROPERTIES_TITLE,Organization properties,Propriétés de l'organisation,NL_Organization properties
ORGANIZATION_STATISTICS_ALLOWED,EN_Permettre à l’AWAC d’inclure mes données dans son analyse statistique,Permettre à l’AWAC d’inclure mes données dans son analyse statistique,NL_Permettre à l’AWAC d’inclure mes données dans son analyse statistique
ORGANIZATION_STRUCTURE_1,EN_société mère,société mère,NL_société mère
ORGANIZATION_STRUCTURE_2,EN_filiale,filiale,NL_filiale
ORGANIZATION_STRUCTURE_3,EN_succursale,succursale,NL_succursale
ORGANIZATION_STRUCTURE_4,EN_joint venture,joint venture,NL_joint venture
ORGANIZATION_STRUCTURE_5,EN_autre,autre,NL_autre
SITE_MANAGER_PERCENT_OWNED_DESC,% desc en,Ce pourcentage reflète la partie des émissions du site qui seront prises en compte dans votre résultat. Vous devez donc l'encoder en accord avec l'approche de contrôel financier ou opérationnel que vous appliquez à votre bilan GES. Un site qui vous appartient entièrement ets d'habitude repris à 100%.,% desc nl
RESULTS_EXPLANATION_LOWER_RANK_PART1,There is an activity of type,Il y a une activité de type,NL_RESULTS_EXPLANATION_LOWER_RANK_PART1
RESULTS_EXPLANATION_LOWER_RANK_PART2,for a value of,pour une valeur de,NL_RESULTS_EXPLANATION_LOWER_RANK_PART2
RESULTS_EXPLANATION_LOWER_RANK_PART3,that has been ignored because a better alternative has been filled in.,qui a été ignorée car une alternative meilleure a été remplie.,NL_RESULTS_EXPLANATION_LOWER_RANK_PART3
RESULTS_EXPLANATION_NOINDICATOR_PART1,There is an activity of type,Il y a une activité de type,NL_RESULTS_EXPLANATION_NOINDICATOR_PART1
RESULTS_EXPLANATION_NOINDICATOR_PART2,for a value of,pour une valeur de,NL_RESULTS_EXPLANATION_NOINDICATOR_PART2
RESULTS_EXPLANATION_NOINDICATOR_PART3,that has been ignored because no indicator uses it.,qui a été ignorée car aucun indicateur n'y fait appel.,NL_RESULTS_EXPLANATION_NOINDICATOR_PART3
REDUCTION_ACTIONS,Reduction Actions,Actions de réduction,NL_Actions de réduction
CREATE_REDUCTION_ACTION_FORM_TITLE,New Reduction Action Form,Création d'une action de réduction,NL_Création d'une action de réduction
EDIT_REDUCTION_ACTION_FORM_TITLE,Reduction Action Edit Form,Édition d'une action de réduction,NL_Édition d'une action de réduction
REDUCTION_ACTION_TITLE_FIELD_TITLE,Title,Titre,NL_Titre
REDUCTION_ACTION_TITLE_FIELD_PLACEHOLDER,Action title,Titre de l'action,NL_Titre de l'action
REDUCTION_ACTION_TITLE_WRONG_LENGTH,EN_La longueur de ce champ doit être comprise entre 1 et 255 caractères,La longueur de ce champ doit être comprise entre 1 et 255 caractères,NL_La longueur de ce champ doit être comprise entre 1 et 255 caractères
REDUCTION_ACTION_SCOPE_TYPE_FIELD_TITLE,Scope,Périmètre,NL_Scope
REDUCTION_ACTION_SCOPE_TYPE_ORG,Organization,Organisation,NL_Organization
REDUCTION_ACTION_SCOPE_TYPE_SITE,Site,Site,NL_Site
REDUCTION_ACTION_TYPE_FIELD_TITLE,Type,Type,NL_Type
REDUCTION_ACTION_TYPE_REDUCING_GES,Reducing Action,Action de réduction,NL_Reducing Action
